userName,content,score,at
Dkriuk Bandung,"Di bandingkan mobile BCA, TRX di Blu sangat lambat dan berat banyak loadingnya padahal inet kencang, beda dengan mobile BCA yg kencang, ayo blue di pangkas waktu loadingnya",5,2023-11-18 01:18:34
Ahmad Muzakki,Kecewa fitur bi fast ditiadakan 😒,1,2023-11-18 00:19:47
Tuti Phan,Menu2 nya mudah digunakan. Utk qris dan trf udah ok. Tambahin e-money kaspro juga donk kak. Sayang masih lemot apk nya sampe sekarang.,4,2023-11-17 23:17:03
Kusmadi Madi,oke,5,2023-11-17 22:41:38
Edy Sutanto,Baik,5,2023-11-17 21:28:33
Muhammad rizky Hartono,Blu BCA Digital sangat membantu untuk transaksi bisnis saya . Smoga LBH banyak LG pitur2nya seperti BCA ada umumnya,5,2023-11-17 18:04:28
Mai Rahmatilah,sangat membantu sy trf di tengah malam... ga ush ke atm lagi... sangat meringankan makasih blu,5,2023-11-17 16:51:12
Agri M.D,sangat membantu,5,2023-11-17 15:57:49
Anita mangkuboto,Good,5,2023-11-17 15:08:14
Erlangga Ryan,Recommended apk,5,2023-11-17 12:20:49
Indra Solihin,BCA digital oke banget,5,2023-11-17 12:05:19
Benedictus,aplikasi yang bagus,5,2023-11-17 11:09:45
Jala Antika,"kdang jaringan gangguan,hrus uninstall bru download lg kn ribet",3,2023-11-17 10:22:44
musyafak ricoh,mantaps promo² nya 👍👍👍,5,2023-11-17 09:04:53
Arie Lesmana,love blu,5,2023-11-17 08:36:33
Nadiah Hikmawati,"aaaa suka bangetttt, mantaaapp, kereenn no lemot2",5,2023-11-17 07:57:01
bahrudin 18,Bagus cepat,5,2023-11-17 07:28:48
Vega Ichsanti,banyak cashback,5,2023-11-17 06:40:27
Folly Akbar,suka,5,2023-11-17 05:25:14
Akhmad Prasetyo,Meskipun ramnya besar. Terasa berat skali dan lama. Smoga bisa di perbaiki,3,2023-11-17 04:17:55
Latuna Audi,seneng bgt ada aplikasi digital bca... semua jd gampang...😁😁 keren pokoknya ...,5,2023-11-17 04:06:27
Anita Novia,tlg di ringankan lg ya min.. apk nya terasa berat. & tlg donk banyakin lg bonus cashback atau transfer gratisan nya,5,2023-11-17 03:48:52
yogaadhimediterranean singaraja,Bca,5,2023-11-16 17:53:30
Warung Mang Apri,"Apk kurang smooth dan kurang responsif. Masih kalah sama mybca yang satset, cuman menangnya di blu ini gratis transfer dan admin bulanan. Tolong untuk kedepannya diperbaiki lagi.",3,2023-11-16 13:24:59
Ajau,OK Bagus,5,2023-11-16 12:43:35
Ahmad Sauki,Bug ( lemot ),1,2023-11-16 11:46:46
Oeij Chiquita Alicetiany,"aplikasinya lemot pdhl jaringan sy bagus, mau tarik duit aja hrs emosi dlu",1,2023-11-16 11:24:09
Salvaputra,berat bgt aplikasinya lemot,2,2023-11-16 10:51:54
Fachrizal Aprianto Tan,terbaik blu,5,2023-11-16 10:40:27
Fly Poop,"Tidak bisa login dengan email, harus pake no telp dan otp dikirim lewat sms aja. Mungkin bisa ditambah fitur login dengan email dan otp mo telp dikirim lewat whatsapp",3,2023-11-16 06:11:47
Haidar Cahyadiansyah,"kok gak bisa tf tarik tunai kak, tulisan nya hmm ada masalah gitu minn",1,2023-11-16 03:30:40
Imam yanto,I love bca blu 🥰,5,2023-11-16 02:55:19
hendri leonardo,bagus sekali,5,2023-11-16 01:33:41
Iqbal Ridho,Ini apaansi anjjjj login susah bgt,2,2023-11-15 23:51:44
ivano tirta,ngapa gak bisa login yah,1,2023-11-15 23:30:00
Hanif,sudah lumayan,4,2023-11-15 15:58:04
Muhammad Iqbal Ramdani,"Blu debit ga dikirim kirim malah pengiriman di close by system udah 15 hari nungguin, tidak ada respon sama sekali dari cs",1,2023-11-15 14:46:06
Naufal Zakka W,"uda keren simpel, cuman masalah kena biaya pas mau cek saldo(2-2,5k)+ tf di sesama bank bca pas di ATM ajasi, overal oke tampilan app mantap, ya ditunggu update selanjutnya",4,2023-11-15 13:51:45
ennibianconerii,sukaaa bangetttt bisa dapet card debitnya semua bebas biayaa semoga selamanya hehe,5,2023-11-15 13:20:14
M. Nawawi,Terimakasih semoga sukses bersama blu digital bca,5,2023-11-15 11:45:09
Samsul Anam,"sekarang kok jadi gk bisa dibuka apk nya, jaringan terputus terus padahal untuk buka apk lain, gk ada kendala harap diperbaiki.. sangat menggangu apa lagi klo untuk buru² tf kan",3,2023-11-15 11:41:52
Metio S.t,Ga bisa ferivikasi,1,2023-11-15 11:24:41
Eka Putri,Oke banget deh tapi buat kartu atm tidak bisa dan tolong di permudah dan untuk tarik tunai di non admin dong,1,2023-11-15 10:52:02
Eldy Raharjo,well,5,2023-11-15 09:20:12
Agus daeng14,Tambah jos karena Udah ada VA nya untuk bayar² Mantull,5,2023-11-15 08:31:42
Butok Ijo,Sudah menggunakan BLU BCA semenjak Oktober 2021 . Awalnya bagus tapi sekarang mau transaksi kena biaya admin.. Payah,2,2023-11-15 04:08:28
cia ci,oke banget anjay,5,2023-11-15 03:29:27
Hans Dunggio,NICE... Sudah ada menu Token PLN juga bs isi Emoney Flazz😉🙇‍♂️😎🇮🇩,5,2023-11-15 02:55:35
ijal jaelani,Hp saya ram 8Gb tapi terasa berat banget buka aplikasinya. Transaksi jadi lama. Buka qris aja lama. Loadingnya juga . Padahal hp saya gk low low banget. Dipercepat app nya. Biar enak transaksi.,4,2023-11-15 01:22:20
Slamet Raharjo,"Bagus bgt aplikasinya , debitnya juga keren",5,2023-11-14 23:00:05
Ni Luh Mertiani,"tolong dong gimana caranya daptar, screen udah di lock . masih aja notifnya lock scren dulu",1,2023-11-14 22:59:54
Fiedo NF,ingin transfer atau transaksi selalu ada kendala,1,2023-11-14 17:15:01
Kong Susanto,Sangat baik,5,2023-11-14 15:56:29
Fajrun 17,"Kk mau tanya kenapa ""blu ko lelet banget ... & sampai kapan pembaruan sistim nya dari tgl 11 november -2023.",5,2023-11-14 12:17:02
iin mutmainah,Oke banget 👍,5,2023-11-14 12:09:56
Ajir YS,Baru kali ini kecewa pakai aplikasi banking Sekelas bca akun saya sampe 4 hari gk bisa transaksi apa2. Mana uang modal untuk putaran pula. Hadeh. Bagi yg mau daftar bca yg biasa saja. Belum pernah problem selama 7 tahun,1,2023-11-14 11:52:20
ELFARANBY,Ternyata skrg mau nabung juga harus ada biaya admin setor tunai ya... 🙂,1,2023-11-14 05:45:48
Andy Muhardi,ok apa lagi kalau saya pengajuan pinjaman di setujui pasti lebih kasi bintang bintangan,5,2023-11-14 04:04:26
Jimmy Chandra,Bagus,5,2023-11-14 01:18:43
halohelmi,"udah ada kartu fisik nya, makin pede aja",5,2023-11-14 01:10:21
Bentar Antariksa,mhon untuk top up saldo Blu dri rek BCA biayanya di revisi karena terlalu tinggi,4,2023-11-13 23:23:01
Kasepuhan Kanoman,Good,5,2023-11-13 23:11:50
Wiminarso,bagus cepat simple terima kasih,5,2023-11-13 19:43:31
Usamah Laden,harusnya setor tarik tunai tidak perlu ada biaya,4,2023-11-13 18:50:43
Mama Darel,"Susah dipake nya.. nyesel.. mau trnsaksi susah kalo sinyal nya rendah gagal terus.. mo beli pulsa, isi kuota susah.. berasa kita yg punya duit tp ga boleh dipake.. benerin lah tu aplikasi, jgn bikin susah",3,2023-11-13 16:02:57
yudie yan88,simpel dalam transaksi,5,2023-11-13 13:15:00
Asep Liana,"Seneng sama kartu fisiknya,seneng sama promonya,fitur UI mudah banget dikendalikan,ditunggu kartu kredit dan paylaterna min,tolong dong kasih undangan pinjamannya,jangan yang datang undangan dari mantan mulu minblu 🤣",5,2023-11-13 11:44:44
bang boyo nasir,Uninstall aja ga jelas,1,2023-11-13 11:08:25
Siti Ulfamaana,ok bgt si ini,5,2023-11-13 10:32:07
Hilmi Justin,hmmm iyaa bagus kynya gampang,5,2023-11-13 07:49:06
k03s. sanjaya,oke loh.. buat transaksi selalu dpt cashback,5,2023-11-13 07:36:59
Rian Heriyanto,mulai ada biaya tarik tunai nih.,3,2023-11-13 07:06:41
Aditia Fahlani,good,5,2023-11-13 05:43:26
Brown Sugar,"Di tolak daftar tapi tidak ada alasan, padahal pengen pengajuan untk beli kopi fore aja.",1,2023-11-13 04:46:55
Rendy Luqman,Blank putih untuk hp (samsung c9 pro) yang padahal harusnya masih mumpuni sekedar app banking,1,2023-11-13 04:10:30
Saidy POE (212),"Ini ma keren abis, layanannya joss ... buat generasi millenial ma wajib lho",5,2023-11-13 04:04:07
Billy Liberti,Transaksi sangat mudah,5,2023-11-13 03:13:22
RIFKI RAFIKA RAMADHAN,"Sejauh ini oke, cuma terasa agak berat aja aplikasinya",5,2023-11-13 02:55:48
Sudiman Ramlan,mantap ok,5,2023-11-13 02:47:10
theo komsel,"pemakaian sangat mudah, mantap",5,2023-11-13 01:05:23
Fariz Muhamad Azqa,"mkasihhh bluu, saya jadi bisa membagi bagi keuangan saya dan jadi lebih teratur",5,2023-11-12 23:29:51
Kiera Harrison,"pendapat gw sejauh ini oke pake blu bca. gratis transfer, gratis topup e wallet, gratis setor-tarik tunai. awal-awal pake agak bingung, banyak fitur yang mungkin kurang penting tapi tetep ditambahin. semoga kedepannya bisa dipersimpel lagi tampilan UI blu bca 👍",4,2023-11-12 12:59:37
Ahmad Hudori,banyak cashback mantap,5,2023-11-12 10:21:57
Halim Chandra,bagus,5,2023-11-12 08:23:55
Rofidzias Siswo Wicaksono,kenapa gabisa dibuka ya? keputus terus ke servernya padahal internet kencang,1,2023-11-12 07:01:03
"Yani Mariza Sofia, SKM","sangat baik, cepat transaksinya di pertahankan",5,2023-11-12 04:49:44
Rinaldo Sabastian,"Mau bikin akun nya dipersulit,, tinggal VC buat acc malahan yg d salahin sinyal provider ,, pafahl sinyl juga bagu bagus aja inihh",1,2023-11-12 04:36:08
fitriani nurjanah,"Lama dtngnya GK sesuai estimasi,udah seminggu belom juga sampe,alesan alamat gk lengkap jelas jelas penulisan alamat udh lengkap bngt",1,2023-11-12 04:02:36
Kevin Sidqy,"Min, mau masuk blue account susah banget dah, harus verifikasi wajah dulu, ga bisa"" juga. Saya habis ganti hp, mau masuk di hp yg baru, susah nya minta ampun, dipermudah dong. Semisal verifikasi wajah diganti sama sandi accojnt blue",3,2023-11-12 00:01:57
Siti Nuraeni,"Cara daftarnya gimana sih? Udah foto ektp, daftar nama sudah benar tp tetap tidak bisa:(",2,2023-11-11 13:23:42
Agus Suganda,luar biasa,5,2023-11-11 12:01:30
Adang Herwanto,Sangat mudah untuk transaksi,5,2023-11-11 08:24:21
Novan Voendha,good... 👍🏻,5,2023-11-11 08:07:26
deviadwi rahayu,sejauh ini suka banget..,5,2023-11-11 04:11:24
Sergio Federich,194 TRX,5,2023-11-11 01:54:49
khozinu arif,"Apakah se smooth aplikasi pendahulunya BCA mobile , bintang segini dulu ya.",3,2023-11-11 01:03:42
Ejon Junaidi,mantap sob,5,2023-11-10 16:00:28
Yono yono,Mantab sangat bermanfaat,5,2023-11-10 14:26:33
Sunarto Pradipta,mantap,5,2023-11-10 14:21:33
Ickey Ojan,"- Transaksi Penarikan di atm BCA kena Biaya Rp. 3500,- Padahal Pake Label ""BCA"", Lalu Fungsi Label itu apa??? - BI FAST sering Eror, Transfer dengan Metode Lainpun EROR. Agak Hati2 nempatin dana banyak2 di Rekening ini. Kalo pas Urgent, Ambyarr.. Bener2 kayak Anak Tirinya BCA ini mah.. Bintang 1 lah",1,2023-11-10 12:12:08
rosmaini rosmiani,"Aplikasi lambat bgt, mau log in lama, mau tf lama, cape nunggunya",2,2023-11-10 11:44:15
Eka Lestari,"Kecewa sama blu bca, penerbitan kartu ATM sangat lama, seminggu lebih. Saat kartu dikirim ke pihak ekspedisi, blu bca tidak mencamtukan nomor nasabah. Jadi kurir tidak bisa menghubungi penerima ATM jika alamat kurang jelas.",1,2023-11-10 07:38:19
Hendrawan New,"lemot banget, loading dan pindah menu",1,2023-11-10 07:31:26
Wiw Uwiw,ok,5,2023-11-10 06:28:40
Agung 6451,"Bagus, tapi alangkah baiknya top up saldo bisa lewat merchant, Karena ATM BCA biasa kejauhan ,",5,2023-11-10 05:12:35
Edeny Hazard,"Mungkin log in ny bisa fi permudah ya ? G usah klik ""masuk"".mungkin dari loading app bisa langsung ke PIN aja krna harus lewatin 2 step agak kelamaan juga kalo mau transaksi d depan kasir dan sama app g bisa jalan di Tablet ya ? Hmm",3,2023-11-10 04:15:38
Mukhammad Suyud,Kenapa susah mendapatkan kode otp saya mau login,3,2023-11-10 03:57:41
Suci Awaliyah,"Sejauh ini sih oke² ajaa apalagi visualnya gen z bgt, trs tiap transfer atau top up gratis ditambah kalo transaksi pke debit card atau qr suka dpt cashback semoga seterusnya kek begitu deh bukan buat pengguna baru doang",4,2023-11-09 21:35:14
Adhi Play5997,"Daftar aja bermasalah,, minta hp jgn goyang. Hp udah di taroh juga masih sama",2,2023-11-09 19:52:46
Fathur Rahman,Sekalinya dipake... Susah masuk,1,2023-11-09 14:08:17
Akhmad Aldo S.,"Sudah berapa hari jaringan terputus lah, gabisa login lah, dll, gimana ini mau transaksi aduh jadi ngeri pake blu bca",2,2023-11-09 13:16:45
Takin Gaspoll,Bagus,5,2023-11-09 12:06:44
Bang Lupi TV,Aplikasi kog berat banget ya mau dibuka.. Mohon solusinya,1,2023-11-09 04:59:54
aldikafaatirahcman,sangat baik untuk menabung tidak ada biaya admin sama sekali,5,2023-11-09 01:33:42
니사선우,Cuma gratis 1x transaksi tarik/setor masing² 1x kesempatan gratis perbulannya,1,2023-11-08 17:19:18
bang opik81,Kereeeeeeennnn,5,2023-11-08 16:50:05
Bekasi Aluminium,top,5,2023-11-08 13:20:37
Mohamad Sony Gunawan,Terima kasih karena sekarang sudah menjadi bagian dari finansial saya,5,2023-11-08 11:29:07
gradia wahyuning Tiyas,"Baru buka tabungan melalui online, Apa harus ada setoran awal. lupa ga minta pejelasan. Tolong jelaskan ya. terima kasih.",4,2023-11-08 09:22:45
SUTANTO PSS,sangngat membatu sekali,4,2023-11-08 06:47:44
Hasan Cendol Jepara 555,Dapet pinjaman blu Extra cash.. Mau di cairkan engk bisa sudah tlpn kcs ny 4 kali tetep engk bisa.. Bilang mau di proses sampai skrng.. !!!!,1,2023-11-08 05:34:25
konter berkah,Sangat merugikan masak habis isi uang malah gak bisa dipakai trx sama sekali sama aja penipuan ini mah keluarnya anime bertopi terus. Ini bank atau apk apaan si,1,2023-11-08 04:19:20
Muhamad Agus,ada sdkit delay nyaa tpi jrang sihh gk terlalu seringg tpi msih aman ko enjoy lahh makin simpel and praktis lahh,5,2023-11-08 04:07:36
fajar Septyanto,Kenapa selalu di bikin login trus...,1,2023-11-08 02:09:52
SIJI Sings,"Aplikasi ini sangat lambat. Bukan karena koneksi pengguna atau spesifikasi hp. Tapi memang respon aplikasi sangat lambat. Ini membuat pengalaman buruk. Coba perbaiki agar lebih ringan seperti Mobile bca, Mybca. Tolong pertimbangkam kenyamanan penggunaan terlebih dulu.",1,2023-11-08 01:14:23
Richo Wijaya,"kurang kartu debit/ATM aja, selebihnya ok",5,2023-11-07 17:27:48
Said Bawazir,Wahai pihak pengelola aplikasi blu bca. aplikasi ini sungguh sangat tidak nyaman untuk transaksi apapun di karenakan terlalu berat sering keluar sendiri/ eror dan lama muter2 login di awal. Setiap hari seperti ini walapun ram dan jaringan bagus. walaupun memiliki tampilan yang bagus serta fitur yang menarik kalau seperti ini sangat tidak nyaman. Saya berharap adanya perbaikan secepatnya seperti kilat yang menyambar..,2,2023-11-07 15:59:06
Tita Wardiyanti,"Sejauh Ini Aplikasi Blu Memang Sangat Recomended Banget Buat Transaksi Digital, Lebih2 Pengiriman Kartunya Juga Cepet Banget, Makasih Min Blu, Semoga Selalu Bersaing Secara Sehat Dan Mampu Lebih Unggul Dari Kompetitor Bank Digital Lain Ya... Buat Yg Belum Merasakan Atau Belum Daftar Blu, Jangan Sampe Ketinggalan Promo2 Menariknya, Yuk Segera Daftar, Jangan Lupa Lengkapi NPWPnya Juga Agar Selalu Nyaman Bertransaksi..",5,2023-11-07 15:36:02
Erol San,"Enak sebenerny pake blu, aku pribadi buat nabung ataupun transaksi atau topup bisa di satu aplikasi aja. Tp sayngny apliaksinya kekny berat deh soalnya sering nunggu loading gitu klo mau bayar tf dsb.",4,2023-11-07 15:26:40
ANIP Exe,TOLONG TURUNIN SYARAT UNTUK KE blu pro dari 1 juta ke 500k aja atau 300k aja jujur kalo harus sejuta itu tinggi banget dan juga gratis tarik saldo nya jangan cuma 2 kali dong kalo bisa 5 kali kaya yg di sebelah.. ini cuma 2 kali cuma di ATM BCA doang bisa nya ..tolong lah secepat nya diubah saya yakin ga cuma saya sendiri yg mau blu seperti itu,2,2023-11-07 14:38:44
Zulfikri,Semakin mantap,5,2023-11-07 12:26:55
Ayah Hainan,"Aplikasi ini sangat lemot, tolongdiperbaiki biar proses transaksi terutama transfer agar bisa lebih cepat. Janganlambat lambat saya udh betah juga pake lama-lama kesal",3,2023-11-07 11:24:32
Senju Hatake,pertahankan kualitas,5,2023-11-07 10:18:47
rizky achmad,tambahin lagi fiturnya biar keren UInya masih kurang bagus menurut saya,5,2023-11-07 09:35:29
Muhammad Fajar,"Nanti kasih B5 kalau aplikasi sudah smooth dan ga ada jeda, Di Ram 8GB ajah masih butuh Loading kisaran 7-15 detik buat buka Aplikasinya. Dibuat seringan mungkin dong biar transaksi ga nunggu lama bisa SatSet...",3,2023-11-07 07:47:36
Novalia Mahendra,so far masih oke pake Blu...,5,2023-11-07 05:17:46
Iwan Ciss H,Ok,4,2023-11-07 04:25:51
Johan Ev,Jadi gampang banget bayar sana sini,5,2023-11-07 04:24:23
Andika Permana,Waah.. skrng setor tunai di ATM BCA ada potongan ya 3.500. Akhirnya mau setor 150rbu jadi setor lagi sayaa..,2,2023-11-07 04:18:27
Risma Damayanti,wow bangettt,5,2023-11-07 02:27:39
Engky,tambah dark mode cakep ini min,5,2023-11-06 23:49:36
Adimak Dejan,Kenapa di persulit untuk dapat kode undangan buat semua nasabah BCA.,1,2023-11-06 19:37:33
ASAfandi TV,Oke,5,2023-11-06 14:46:07
Adel Helwana,"Pendaftaran Blu agak sulit ya , gatau kenapa sudah masukin semua persyaratan pas vidcall mbak CS nya bilang kalo data saya gak memenuhi syarat untuk buka rekening di Blu,gak tau kurangnya persyaratan saya dimana. Ngomongnya cepet banget, mukanya jutek , belom sempet ngomong mau nanya kenapa gak memenuhi syarat langsung dimatiin..",2,2023-11-06 14:23:17
Indung Onadio,"langsung bintang 5 dan terimakasih Blu. pastinya sneeng banget pake Blue. simple, aman, banyak promo dan ga ada biaya admin bulanan. aku pasti bakalan setia sma Blu ☺",5,2023-11-06 12:56:36
vz. putra,Aplikasi tolol babi setiap mau transaksi yah putus padahal jaringan bagus bgst bgt nih apk,1,2023-11-06 12:08:03
Ari subegio,Tarik tunai dan cek saldo di mesin atm bca aja masih kena potongan apalagi di mesin edc yg lain. Padahal satu perusahaan 😝,1,2023-11-06 08:31:58
Wahyu Rizky,sangat keren,5,2023-11-06 06:02:46
Muchlis Jihad,seru,5,2023-11-06 05:37:55
Ali Muhammad,Lambat dan lelet super,1,2023-11-06 04:19:24
Ari Sapari,mantaap,5,2023-11-06 03:03:31
Prita Kemalasari,untuk transaksi di Indomaret menggunakan qris masih blm bisa.,5,2023-11-06 01:12:19
Feri Yunianto,Good app,5,2023-11-05 22:37:12
Dedy Iriansyah,Kenapa saya harus isi data ulang lagi.. padahal saya Uda daftar...mohon di bantu,1,2023-11-05 21:37:22
Deni Wiranto,Aplikasi nya berat banget,2,2023-11-05 15:36:35
OFFICIAL BINTANG GAMING,💞,5,2023-11-05 12:01:12
Vidiella Ayunandri Brilliantari,Bapuk eror mulu,1,2023-11-05 11:07:43
AZMI CLAUDIA,Sangat baik,5,2023-11-05 10:01:52
Sahrul ramdani,Manteb,5,2023-11-05 09:29:14
Tjiong Sun,ok. sangat mudah,5,2023-11-05 06:33:32
Zabari Al haqqi,"Aplikasi gembel anjjj....duit gue di colong gocap,chatt cs pada ngaret gada yg mau tanggung jawab, mnding gush pake aplikasi ini dehhh... Gembel parah",1,2023-11-05 06:15:02
Yusiana Meikawati,"sangaat memudahkan sejauh ini membantu pula, tapi blm sempet rasain promo2nya. aku pakai ini buat nabung sih jadi aman buat kalo save money sehingga kalo ada keperluan darurat",5,2023-11-05 03:22:06
Ade Supriyadi,"Susah untuk transfer, selalu ada masalah dan harus coba lagi",1,2023-11-05 01:59:26
Sunan Andrian,Ok,5,2023-11-05 01:51:16
Andri Setiawan,bagus,5,2023-11-05 01:01:27
Bayu Prayitno,Loading lama terasa berat banget mau log in juga susah. Trus mau aktifkan kartu debit selalu gagal. Apakah akan ada perbaikan atau update agar akses lebih ringan BCA Digital??? Mohon segera di perbaiki karena mau transaksi cepat malah banyak kendala,2,2023-11-04 22:18:27
Iwan Mustari,sangat baik melakukan transaksi,5,2023-11-04 19:13:22
ester eliyani,terbaik ⭐⭐⭐⭐⭐ 5 bintang bos ku,5,2023-11-04 17:26:42
babon_tv,Parah saya buka aplikasi blu ga bisa bisa,2,2023-11-04 17:01:37
Syahid Ali Rahman Siregar,"UI nya asik banget, sangat membantu, overall sangat bagus. cuma sedikit saran, untuk blu saving mungkin bisa ditambah fitur auto tarik, jadi buat yang duitnya udah dikotak2an bisa tarik duit dari salah satu dompet secara otomatis.",5,2023-11-04 15:20:39
wulung gumelar,okeh,5,2023-11-04 13:04:46
Andy Srg,ok bener,5,2023-11-04 12:37:43
Ozzi Zouda,aga lelet dikit,2,2023-11-04 12:32:21
Hendi Kusnanta,Uninstal aja ...mohon data saya dihapus....,1,2023-11-04 05:07:33
Nariraty Luo,"Mau daftar aja susah banget . Ulang2 berkali2 videocall, udah bisa, tp di matikan CS nya ulang2. Pasti nanti alasannya sinyal. Pdhl udah d tempat dgn sinyal terbaik tsel juga",1,2023-11-04 04:19:28
Abah Ted,ok,5,2023-11-04 03:33:48
Nadya Malfira,BAGUS BNGT BNYAK CASHBACK,5,2023-11-04 01:57:40
Agus Lovers,MOHON DIBUAT UNTUK VERIFIKASINYA YANG WAJAH AJA JANGAN VERIFIKASI VIA VIDEO CALL SUPAYA JIKA ADA ORANGTUA YANG BERMINAT DAN MENGINGINKAN REKENING BCA JADI BISA DENGAN MUDAH MEMPUNYAI REKENING TERSEBUT MOHON SISTEMNYA LEBIH DITINGKATKAN DAN DI OPTIMALKAN LAGI KARENA JIKA VERIFIKASI VIDEO CALL UNTUK ORANGTUA MASIH BELUM PAHAM DAN BELUM MENGERTI UNTUK TANYA JAWABNYA TERIMA KASIH.,1,2023-11-04 00:22:17
Ze Ez,"Yey akhirnya saya dapat blu debit card nya, tapi sayang tariknya gk gratis lagi di ATM BCA, kalau pun gratis ada limitnya",4,2023-11-04 00:19:24
Fehmay,membantu transaksi online dan ada kartu debitnya,5,2023-11-04 00:09:57
Risky,Perbaiki lh waktu servernya tidak merespon,1,2023-11-03 23:01:40
Mega Karunia R.,"Awalnya oke yaa aplikasinya, bisa memisahkan uang sesuai posnya. Tapi semakin kesini untuk transaksi sering sekali eror. Udah uninstal tetep eror. Bad experience sih..",1,2023-11-03 22:07:38
Ma Alyasiin,"Udah 1 tahunan lebih pake blu, enak si yaa, cuman masukkan buat aplikasi ini, kenapa terasa berat ya, jadi kurang smooth gitu dalam peroperasian nya... mohon segera diperbaiki.",5,2023-11-03 16:12:56
Lukman Nulhakim,Transfer uang malah gagal pending sampai berhari2 Kapok pakai BLU Maaf saya uninstall perbaiki dulu sistem yang bikin orang rugi waktu dan biaya jadinya tlp dan lain2 Bad aplikasi,1,2023-11-03 16:11:35
Sugiharto Fong,mantap terbantu banyak,5,2023-11-03 13:25:32
hardiko diko,transfer sesama BCA dan penarikan tunai di kenain biaya admin juga ya BCA sama BCA kaya musuhan,1,2023-11-03 13:07:37
ahmad udet,"mau login ke hp lain malah muncul tulisan "" must use real device"", cara mengatasinya gimana",3,2023-11-03 11:02:58
Muhammad Faqih,mantaaaaaafffff,5,2023-11-03 10:40:54
Yudi Supyan,Terima kasih,5,2023-11-03 10:33:23
Buaya Darat,"Ko setiap nabung jdinya ada biaya admin ya, perasaan waktu itu engga ada skrang jdi ada ya, waduh parah",1,2023-11-03 08:40:34
BRURI KURNIAWAN,Good sangat membantu,5,2023-11-03 05:27:19
Alfian Bhakti,"Aplikasi mudah digunakan, menunya simpel. Bebas biaya admin bulanan, transfer ke bank lain juga bisa gratis. Aplikasi sangat bagus, sangat membantu.",5,2023-11-03 03:30:25
Ndang Saepudin,"OTP via SMS selalu tidak kunjung datang, kenapa tidak via WA saja.",3,2023-11-03 03:20:42
Revanda Maulana,Aplikasi bank digital paling berat,1,2023-11-03 01:13:34
Sutaman Sirya,mantabs dan praktis jossss tenan👍,5,2023-11-03 00:03:48
Mareta Dewani Ramadhanty,"daftarnya gampang, visual app nya juga easy access, intinya ini pilihan terbik buat anak muda",5,2023-11-02 20:28:24
Marizza,error terus masaaa,2,2023-11-02 15:45:39
Faisal Bakhri,mantep,5,2023-11-02 14:29:52
Har Yono,Sangat baik dan bagus,5,2023-11-02 14:18:00
a husein,Fitur kurang,2,2023-11-02 13:11:24
Bagus Syaripudin,Knpa sih aplikasi nya lemot bnget. Jdi kurang suka..dan juga saya pengajuan kartu fisik nya ko di kenain biaya sih.,1,2023-11-02 10:30:34
Elvan F,"Sempet kecewa, ternyata saya yg kurang tau sistem LLG, udah marah² di semua CS Blu wkwk, maaf ya min Akhirnya bisa tenang lagi pake Blu, tadinya mau di copot untung keburu ada tanggapan dari Agent Blu di wa",5,2023-11-02 08:08:09
Tita Oktapiana,memudahkan semuanya,3,2023-11-02 07:28:59
eka yuliana,"Susah login , jaringan terputus terus ini gimna coba",2,2023-11-02 04:21:59
vicky kiki,membantu sekali,5,2023-11-02 04:16:50
Irfan Ghifari Arfananda,"AMPAS, MASA KODE OTP SALAH TERUS.. DARI SMS NYA BEGITU KOK MALAH SALAH MELULU PAS DICOBA",1,2023-11-02 03:11:21
Cunda,"saya baru pake blu , setiap masuk padahal salah sekali saja untuk memasukan password tapi tiba2 ada notif akun terblokir harus di reset giliran sudah direset pas mau scan muka malah langsung ke tutup aplikasi nya . coba masuk lagi malah kembali ke awal masukin no hp verifikasi tp ga muncul2 kode nya .. jadj gimana ini 😭😭",1,2023-11-02 02:30:21
Yoni Hendar,"Assalamualaikum, kabar acara apa",5,2023-11-02 00:10:45
Dian T. (diantriana),"Sudah 2 hari tidak bisa dibuka, selalu muncul notif yah putus blablabla. Padahal koneksi internet ngebut, sudah dicoba pakai wifi & data.",1,2023-11-01 22:43:14
Ip Ut,Susah amat verifikasi wajah,2,2023-11-01 20:51:22
rolly madha,para BI fast tiap mau di pake sll dlm pemeliharaan...,1,2023-11-01 18:21:14
siti rahmah,sangat membantu.,5,2023-11-01 12:32:01
Valencia Christian,BI FAST nya kenapa sering bermasalah si bca😥😥,3,2023-11-01 12:11:26
MUHAMMAD MUHLASIN,Ok,4,2023-11-01 11:38:26
Zapoetra 93,memudahkan bertransaksi dengan digital lebih maju,5,2023-11-01 10:49:28
Chandra_26,sangat membantu yg jauh ke kantor BCA langsung untuk buka rekening ... penarikan pun gampang karena area saya lebih dekat ke mesin setor tunai yg ada di minimarket .. semoga semakin mempermudah lagi ke depan untuk transaksi online 🤭🤭,5,2023-11-01 10:17:01
Okey Channel,"Aplikasi berat loading lama, layanan bi-fast sering gangguan, gk ada fitur virtual account (katanya sih lagi dikembangkan, tapi udah 6 bulan masih belum bisa dipakai) , kuota transfer pelit. Gk ada kualitas maupun kuantitas nya. Skip aja gausah dipake.",1,2023-11-01 10:04:06
